Date,Day,Competitor Avg
2025-08-09,5,435
2025-08-10,6,362
2025-08-11,0,362
2025-08-12,1,362
2025-08-13,2,362
2025-08-14,3,362
2025-08-15,4,435
2025-08-16,5,435
2025-08-17,6,362
2025-08-18,0,362
2025-08-19,1,362
2025-08-20,2,362
2025-08-21,3,362
2025-08-22,4,435
2025-08-23,5,435
2025-08-24,6,362
2025-08-25,0,362
2025-08-26,1,362
2025-08-27,2,362
2025-08-28,3,362
2025-08-29,4,435
2025-08-30,5,435
2025-08-31,6,362
